餐廳名稱,地址,店長國籍,行政區,經度,緯度,縣市
雲南小鎮,泰順街40巷38號,緬甸,大安區,121.5295548,25.0241733,台北
雲之泰雲南泰國料理,濟南路三段29之1號,緬甸,大安區,121.5352527,25.0402857,台北
磐石坊,樂利路15號,印尼,大安區,121.5512797,25.0280665,台北
范姜牛肉麵附設攤位,信義路3段107號,越南,大安區,121.5389877,25.0340913,台北
2J caf?,建國南路2段79巷9號,韓國,大安區,121.5383801,25.0309765,台北
越泰豐南洋料理,安居街34巷口,越南,大安區,121.5546041,25.0207956,台北
阿香越南小吃,台北市大安區臨江街110-1號（通化夜市內）,越南,大安區,121.5542672,25.0301412,台北
江蘇菜盒店,忠孝東路3段216巷3弄6號,中國大陸,大安區,121.5381808,25.0417673,台北
梁記大骨麵,台北市中山區龍江路356巷38號,越南,中山區,121.5393754,25.0658462,台北
越南小吃餐車,農安街5號前,越南,中山區,121.5230714,25.0651266,台北
中原早午餐店,中原街30號,中國大陸,中山區,121.5288247,25.0570251,台北
平田屋,林森北路119巷80號1樓,日本,中山區,121.5277892,25.0501642,台北
小樹台越餐館,農安街139號,越南,中山區,121.5306556,25.064894,台北
新紅鍋貼店-八方雲集加盟鍋貼店(天祥路59號),天祥路59號,中國大陸,中山區,121.5209036,25.0633087,台北
新藍鍋貼小吃店-八方雲集鍋貼加盟店(南京西路12巷15號),南京西路12巷15號,中國大陸,中山區,121.5216143,25.0513677,台北
阿清麵飯館,遼寧街108巷12號,越南,中山區,121.5417858,25.0523829,台北
京典越南小吃店,北安路518巷14弄2號,越南,中山區,121.545946,25.079251,台北
千里之外桂林米粉,民生東路2段115巷24號,大陸,中山區,121.537442,25.0576301,台北
陶記越南美味,建國北路2段186巷25號之一,越南,中山區,121.5349539,25.059612,台北
老外一品牛肉麵,吉林路403號,伊朗,中山區,121.5305166,25.0659629,台北
小熊早午餐,臺北市中山區新生里松江路330巷48號,緬甸,中山區,121.5313272,25.0611439,台北
